songtitle,singer
UNDERSTAND,彭席彦/Franky弗兰奇/再见莫妮卡
小城夏天,徐秉龙/单翅鸟
意外,Hillsong Young & Free/Wake (Studio)
Take a While,Walk off the Earth/Tyler Shaw/Bet On Me
Dumo 嘟莫,杨和苏KeyNG/小丑女
我的错,PSY.P/Higher Brothers/Bohan Phoenix/刘玉玲 Lucy Liu (feat. Bohan Phoenix)
中国说唱巅峰对决 第一期,PSY.P/街头艺术家 Ghetto Artist
中国说唱巅峰对决 第一期,林子祥/谭咏麟/叶蒨文/李克勤/那英/林晓峰/杨千嬅/李健/李玟/周笔畅/糖妹/刘惜君/马赛克/Mike 曾比特/毛不易/安崎/魔动闪霸/单依纯/炎明熹/吴若希/陈豪/方力申/Maria Cordero/谭俊彦/林夏薇/马德钟/陈贝儿/陈自瑶/声梦学员们/东方之珠
轻描淡写,Wild Culture/Shel Bee/What U Do
2011 Hit Fm 年度百首单曲,Ecrolyn/爱与诚
声生不息 第10期,糖妹/安崎/炎明熹/我的骄傲
55:38:07,Shordie Shordie/Murda Beatz/Trippie Redd/LOVE (feat. Trippie Redd)
港樂不息 Vol.3,林子祥/毛不易/狮子山下
锦上添花FREESTYLE,任然/外婆桥
Teenage Mona Lisa (feat. Aiden Adair),Breathe Carolina/Dropgun/Kaleena Zanders/Sweet Dreams (Mixed)
硬戳,白举纲/寻一页星光
逃离,杨千嬅/周笔畅/当我想起你
中国说唱巅峰对决 第一期,Blanks/Better Now
背叛,GAI周延/Not Friendly
最近,Capper/LEGGO/Todd Malone/纵容
中国新说唱2020 第三期,PSY.P/刘玉玲&街头艺术家
杜康,AViVA/GRRRLS
港樂不息 Vol.1,刘惜君/林晓峰/张明敏/我的中国心
那年,Capper/年轻的国王们
你走以后,傲七爷/同花顺
我是真的爱上你,接个吻，开一枪/沈以诚/薛黛霏/失眠飞行
Best Friend (feat. Doja Cat) [Remix EP] [Extended Edition],艾热 AIR/李佳隆/星球坠落2022
知足 最真杰作选,苏星婕/填满
你还好吗,Pop Smoke/Get Back
还有诗和远方诗画浙江篇,刘耀文/Falling You
Music To Be Murdered By,星野源/喜劇 (feat. DJ Jazzy Jeff & Kaidi Tatham)
Taped Rai,Capper/LEGGO/4D/Kyra Zilver/APEX/无人区玫瑰
新地球 - 人 (Special Edition),戚薇/如果爱忘了
晚是没有你的安,Hoji Matkurban/Urumqide Bir Guzel Bar
Illusion,AY楊佬叁/Dom.T/不想再爱你
Every Time We Touch,王贰浪/悔过
God View,唐汉霄/张敬豪MR.HOW/你是我的骄傲
青年晚报,蔡健雅/越来越不懂
五百二十赫兹,李圣杰/痴心绝对
粥请客（二）,刘凤瑶/感官先生
剑，蔷薇 SwordandRose.,阿梨粤/最爱
3,Chenyu陈鱼！/牛马Disco
1212,小爱/杨杰/阿拉梅/娅咪（feat 尔玛娜依）
追光者,张杰/明天过后
I'm Sorry,Zkaaai/不想撑伞的人
避难所,姜铭杨/轮回梦境
中国说唱巅峰对决 第一期,金玟岐/岁月神偷
那该多好,Taylor Swift/Bon Iver/exile
不良少年,顾帅Gs/专情
0919,简弘亦/你就不要想起我
