moviename,movietype,actor
人生大事,全部 ,王戈、朱一龙 
侏罗纪世界3,惊悚、科幻 ,布莱丝·达拉斯·霍华德、劳拉·邓恩 
奇异博士2：疯狂多元宇宙,惊悚、恐怖 ,本尼迪克特·康伯巴奇、切瓦特·埃加福 
月球陨落,科幻 ,约翰·布莱德利、哈莉·贝瑞 
一周的朋友,剧情 ,赵今麦、沈月 
似而非,惊悚、剧情 ,梁益准、吴政世 
所言所行,剧情、爱情 ,卡梅丽雅·乔丹娜、尼尔斯·施内德 
侏罗纪世界,惊悚、科幻 ,布莱丝·达拉斯·霍华德、文森特·多诺费奥 
我和我的祖国,剧情 ,黄渤、张译 
奇异博士,动作 ,本尼迪克特·康伯巴奇、蒂尔达·斯文顿 
边缘行者,犯罪、动作 ,任贤齐、方中信 
侏罗纪世界2:失落王国,科幻、动作 ,詹姆斯·克伦威尔、布莱丝·达拉斯·霍华德 
雷神4：爱与雷霆,爱情、科幻 ,娜塔莉·波特曼、克里斯·帕拉特 
长津湖之水门桥,剧情 ,段奕宏、易烊千玺 
花木兰,剧情 ,巩俐、甄子丹 
泰坦尼克号,剧情、爱情 ,莱昂纳多·迪卡普里奥、凯特·温丝莱特 
神秘海域,动作 ,汤姆·赫兰德、马克·沃尔伯格 
加勒比海盗4:惊涛怪浪,动作 ,约翰尼·德普、伊恩·麦柯肖恩 
送你一朵小红花,剧情、爱情 ,易烊千玺、朱媛媛 
海市蜃楼,惊悚、爱情 ,阿德里亚娜·乌加特、阿尔瓦罗·莫奇 
女教师,剧情 ,苏珊娜·莫拉利、琼戈尔·考绍伊 
倚天屠龙记之九阳神功,动作 ,林峰、云千千 
怦然心动,剧情、喜剧 ,瑞贝卡·德·莫妮、卡兰·麦克奥利菲 
爱丽丝梦游仙境,剧情 ,米娅·华希科沃斯卡、约翰尼·德普 
让子弹飞,剧情、喜剧 ,姜文、葛优 
海上钢琴师,剧情、爱情 ,比尔·努恩、蒂姆·罗斯 
四海,剧情、喜剧 ,刘昊然、刘浩存 
你好，李焕英,剧情、喜剧 ,张小斐、贾玲 
大赢家,爱情、动作 ,董成鹏、代乐乐 
我不是药神,剧情、喜剧 ,徐峥、周一围 
