种类,蔡明,最低价,平均价,最高价,产地,日期
蔬菜,大白菜,0.3,0.35,0.4,冀,2022-07-14 00:00:00
蔬菜,娃娃菜,0.6,0.65,0.7,冀,2022-07-14 00:00:00
蔬菜,小白菜,3.0,3.25,3.5,冀,2022-07-14 00:00:00
蔬菜,圆白菜,0.9,1.0,1.1,冀,2022-07-14 00:00:00
蔬菜,紫甘蓝,0.8,0.85,0.9,冀,2022-07-14 00:00:00
蔬菜,芹菜,1.5,1.65,1.8,冀京,2022-07-14 00:00:00
蔬菜,西芹,1.8,2.0,2.2,豫辽,2022-07-14 00:00:00
蔬菜,菠菜,2.5,2.75,3.0,冀蒙,2022-07-14 00:00:00
蔬菜,莴笋,1.0,1.2,1.4,冀津,2022-07-14 00:00:00
蔬菜,团生菜,1.0,1.25,1.5,京冀,2022-07-14 00:00:00
蔬菜,散叶生菜,1.8,2.0,2.2,冀,2022-07-14 00:00:00
蔬菜,罗马生菜,1.8,2.0,2.2,冀,2022-07-14 00:00:00
蔬菜,油菜,2.0,2.15,2.3,鲁京,2022-07-14 00:00:00
蔬菜,香菜,4.0,4.5,5.0,冀吉,2022-07-14 00:00:00
蔬菜,茴香,3.5,4.25,5.0,冀,2022-07-14 00:00:00
蔬菜,韭菜,2.0,2.25,2.5,冀,2022-07-14 00:00:00
蔬菜,苦菊,4.5,4.95,5.4,冀辽,2022-07-14 00:00:00
蔬菜,油麦菜,2.5,3.0,3.5,冀,2022-07-14 00:00:00
蔬菜,散菜花,1.8,2.3,2.8,冀,2022-07-14 00:00:00
蔬菜,绿菜花,1.5,1.85,2.2,苏豫冀,2022-07-14 00:00:00
